ANO_EMPENHO;DS_ORGAO;VL_EMPENHADO
2018;INSTITUTO MUNICIPAL DE TURISMO;1000
2018;INSTITUTO MUNICIPAL DE TURISMO;1000
2018;INSTITUTO MUNICIPAL DE TURISMO;1000
2018;INSTITUTO MUNICIPAL DE TURISMO;1000
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;500
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;500
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;500
2018;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE CURITIBA;374595,13
2018;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE CURITIBA;374595,13
2018;INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE CURITIBA;1314,03
2018;INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE CURITIBA;1314,03
2018;FUNDO MUNICIPAL PROVISIONAL DE PREVIDÊNCIA;10000
2018;FUNDO MUNICIPAL PROVISIONAL DE PREVIDÊNCIA;10000
2018;FUNDO MUNICIPAL PROVISIONAL DE PREVIDÊNCIA;10000
2018;FUNDO MUNICIPAL PROVISIONAL DE PREVIDÊNCIA;10000
2018;FUNDO MUNICIPAL PARA CRIANÇA E O ADOLESCENTE;325
2018;FUNDO MUNICIPAL PARA CRIANÇA E O ADOLESCENTE;325
2018;FUNDO MUNICIPAL DOS DIREITOS DA PESSOA IDOSA;3000
2018;FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL;12000
2018;FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL;12000
2018;FUNDO MUNICIPAL DA SAÚDE;1525,05
2018;FUNDO MUNICIPAL DA SAÚDE;1525,05
2018;FUNDO MUNICIPAL DA SAÚDE;1525,05
2018;FUNDO MUNICIPAL DA SAÚDE;1525,05
2018;FUNDO MUNICIPAL DA CULTURA;19000
2018;FUNDO MUNICIPAL DA CULTURA;19000
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;88797,98
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;88797,98
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;88797,98
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;88797,98
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;60774,5
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;60774,5
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;60774,5
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;60774,5
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;60774,5
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;60774,5
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;60774,5
2018;FUNDAÇÃO DE AÇÃO SOCIAL;1119,25
2018;FUNDAÇÃO DE AÇÃO SOCIAL;1119,25
2018;FUNDAÇÃO CULTURAL DE CURITIBA;1171103,19
2018;FUNDAÇÃO CULTURAL DE CURITIBA;1171103,19
2018;FUNDAÇÃO CULTURAL DE CURITIBA;1171103,19
2018;FUNDAÇÃO CULTURAL DE CURITIBA;1171103,19
2018;SECRETARIA MUNICIPAL DE OBRAS PÚBLICAS;5728
2018;SECRETARIA MUNICIPAL DE OBRAS PÚBLICAS;5728
2018;INSTITUTO MUNICIPAL DE TURISMO;3000
2018;INSTITUTO MUNICIPAL DE TURISMO;3000
2018;INSTITUTO MUNICIPAL DE TURISMO;3000
2018;INSTITUTO MUNICIPAL DE TURISMO;3000
2018;INSTITUTO MUNICIPAL DE TURISMO;3000
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;1900
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;1900
2018;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE CURITIBA;39989,72
2018;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE CURITIBA;39989,72
2018;INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE CURITIBA;1740618,57
2018;INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE CURITIBA;1740618,57
2018;INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE CURITIBA;1740618,57
2018;INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE CURITIBA;1740618,57
2018;FUNDO MUNICIPAL PROVISIONAL DE PREVIDÊNCIA;1000
2018;FUNDO MUNICIPAL PROVISIONAL DE PREVIDÊNCIA;1000
2018;FUNDO MUNICIPAL PARA CRIANÇA E O ADOLESCENTE;1437
2018;FUNDO MUNICIPAL DOS DIREITOS DA PESSOA IDOSA;1437
2018;FUNDO MUNICIPAL DOS DIREITOS DA PESSOA IDOSA;1437
2018;FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL;24000
2018;FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL;24000
2018;FUNDO MUNICIPAL DA SAÚDE;217,86
2018;FUNDO MUNICIPAL DA SAÚDE;217,86
2018;FUNDO MUNICIPAL DA CULTURA;5525
2018;FUNDO MUNICIPAL DA CULTURA;5525
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;88512,89
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;88512,89
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;88512,89
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;88512,89
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;16528,71
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;16528,71
2018;FUNDAÇÃO DE AÇÃO SOCIAL;7978,03
2018;FUNDAÇÃO DE AÇÃO SOCIAL;7978,03
2018;FUNDAÇÃO CULTURAL DE CURITIBA;31977,4
2018;FUNDAÇÃO CULTURAL DE CURITIBA;31977,4
2018;SECRETARIA MUNICIPAL DE OBRAS PÚBLICAS;8150
2018;SECRETARIA MUNICIPAL DE OBRAS PÚBLICAS;8150
2018;INSTITUTO MUNICIPAL DE TURISMO;800
2018;INSTITUTO MUNICIPAL DE TURISMO;800
2018;INSTITUTO MUNICIPAL DE TURISMO;800
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;69000
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;69000
2018;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE CURITIBA;7199,51
2018;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE CURITIBA;7199,51
2018;INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE CURITIBA;49689,51
2018;INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE CURITIBA;49689,51
2018;FUNDO MUNICIPAL PROVISIONAL DE PREVIDÊNCIA;1000
2018;FUNDO MUNICIPAL PARA CRIANÇA E O ADOLESCENTE;19337,14
2018;FUNDO MUNICIPAL PARA CRIANÇA E O ADOLESCENTE;19337,14
2018;FUNDO MUNICIPAL DOS DIREITOS DA PESSOA IDOSA;42000
2018;FUNDO MUNICIPAL DOS DIREITOS DA PESSOA IDOSA;42000
2018;FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL;1605
2018;FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL;1605
2018;FUNDO MUNICIPAL DA SAÚDE;217,86
2018;FUNDO MUNICIPAL DA SAÚDE;217,86
2018;FUNDO MUNICIPAL DA CULTURA;6000
2018;FUNDO MUNICIPAL DA CULTURA;6000
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;11733,29
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;11733,29
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;167431,4
2018;FUNDAÇÃO DE AÇÃO SOCIAL;1119,25
2018;FUNDAÇÃO CULTURAL DE CURITIBA;227549,05
2018;FUNDAÇÃO CULTURAL DE CURITIBA;227549,05
2018;SECRETARIA MUNICIPAL DE OBRAS PÚBLICAS;69120
2018;SECRETARIA MUNICIPAL DE OBRAS PÚBLICAS;69120
2018;SECRETARIA MUNICIPAL DE OBRAS PÚBLICAS;69120
2018;SECRETARIA MUNICIPAL DE OBRAS PÚBLICAS;69120
2018;SECRETARIA MUNICIPAL DE OBRAS PÚBLICAS;69120
2018;SECRETARIA MUNICIPAL DE OBRAS PÚBLICAS;69120
2018;INSTITUTO MUNICIPAL DE TURISMO;500
2018;INSTITUTO MUNICIPAL DE TURISMO;500
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;2054,65
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;2054,65
2018;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE CURITIBA;1831,79
2018;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE CURITIBA;1831,79
2018;INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE CURITIBA;261732,11
2018;INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE CURITIBA;261732,11
2018;FUNDO MUNICIPAL PARA CRIANÇA E O ADOLESCENTE;123116,14
2018;FUNDO MUNICIPAL PARA CRIANÇA E O ADOLESCENTE;123116,14
2018;FUNDO MUNICIPAL DOS DIREITOS DA PESSOA IDOSA;9993,15
2018;FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL;24047
2018;FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL;24047
2018;FUNDO MUNICIPAL DA SAÚDE;72,62
2018;FUNDO MUNICIPAL DA SAÚDE;72,62
2018;FUNDO MUNICIPAL DA CULTURA;4006
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;496121,59
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;496121,59
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;496121,59
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;496121,59
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;33671,11
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;33671,11
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;33671,11
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;33671,11
2018;FUNDAÇÃO DE AÇÃO SOCIAL;7978,03
2018;FUNDAÇÃO CULTURAL DE CURITIBA;8738,04
2018;FUNDAÇÃO CULTURAL DE CURITIBA;8738,04
2018;SECRETARIA MUNICIPAL DE FINANÇAS;2037,5
2018;SECRETARIA MUNICIPAL DE FINANÇAS;2037,5
2018;INSTITUTO MUNICIPAL DE TURISMO;13000
2018;INSTITUTO MUNICIPAL DE TURISMO;13000
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;600000
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;600000
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;600000
2018;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE CURITIBA;3119,34
2018;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE CURITIBA;3119,34
2018;INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE CURITIBA;1767,52
2018;INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE CURITIBA;1767,52
2018;FUNDO MUNICIPAL PARA CRIANÇA E O ADOLESCENTE;59204,44
2018;FUNDO MUNICIPAL PARA CRIANÇA E O ADOLESCENTE;59204,44
2018;FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL;16000
2018;FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL;16000
2018;FUNDO MUNICIPAL DA SAÚDE;2614,38
2018;FUNDO MUNICIPAL DA SAÚDE;2614,38
2018;FUNDO MUNICIPAL DA CULTURA;1140
2018;FUNDO MUNICIPAL DA CULTURA;1140
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;446545,92
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;446545,92
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;446545,92
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;446545,92
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;50422,24
2018;FUNDAÇÃO DE AÇÃO SOCIAL;7978,03
2018;FUNDAÇÃO DE AÇÃO SOCIAL;7978,03
2018;FUNDAÇÃO CULTURAL DE CURITIBA;192096,81
2018;FUNDAÇÃO CULTURAL DE CURITIBA;192096,81
2018;SECRETARIA MUNICIPAL DE FINANÇAS;120
2018;INSTITUTO MUNICIPAL DE TURISMO;47086,8
2018;INSTITUTO MUNICIPAL DE TURISMO;47086,8
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;7000
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;7000
2018;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE CURITIBA;10000
2018;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE CURITIBA;10000
2018;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE CURITIBA;10000
2018;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE CURITIBA;10000
2018;INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE CURITIBA;4639,83
2018;INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE CURITIBA;4639,83
2018;FUNDO MUNICIPAL PARA CRIANÇA E O ADOLESCENTE;76711,4
2018;FUNDO MUNICIPAL PARA CRIANÇA E O ADOLESCENTE;76711,4
2018;FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL;100042,8
2018;FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL;100042,8
2018;FUNDO MUNICIPAL DA SAÚDE;244
2018;FUNDO MUNICIPAL DA SAÚDE;244
2018;FUNDO MUNICIPAL DA CULTURA;11253,99
2018;FUNDO MUNICIPAL DA CULTURA;11253,99
2018;FUNDO MUNICIPAL DA CULTURA;11253,99
2018;FUNDO MUNICIPAL DA CULTURA;11253,99
2018;FUNDO MUNICIPAL DA CULTURA;11253,99
2018;FUNDO MUNICIPAL DA CULTURA;11253,99
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;445112,35
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;445112,35
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;445112,35
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;445112,35
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;43017,94
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;43017,94
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;43017,94
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;43017,94
2018;FUNDAÇÃO DE AÇÃO SOCIAL;10,47
2018;FUNDAÇÃO DE AÇÃO SOCIAL;10,47
2018;FUNDAÇÃO CULTURAL DE CURITIBA;573,72
2018;FUNDAÇÃO CULTURAL DE CURITIBA;573,72
2018;SECRETARIA MUNICIPAL DO ABASTECIMENTO;3456
2018;INSTITUTO MUNICIPAL DE TURISMO;81248,66
2018;INSTITUTO MUNICIPAL DE TURISMO;81248,66
2018;INSTITUTO MUNICIPAL DE TURISMO;81248,66
2018;INSTITUTO MUNICIPAL DE TURISMO;81248,66
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;100000
2018;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE CURITIBA;5500
2018;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE CURITIBA;5500
2018;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE CURITIBA;5500
2018;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE CURITIBA;5500
2018;INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE CURITIBA;41397,75
2018;INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE CURITIBA;41397,75
2018;FUNDO MUNICIPAL PARA CRIANÇA E O ADOLESCENTE;144849,25
2018;FUNDO MUNICIPAL PARA CRIANÇA E O ADOLESCENTE;144849,25
2018;FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL;2979
2018;FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL;2979
2018;FUNDO MUNICIPAL DA SAÚDE;672,24
2018;FUNDO MUNICIPAL DA SAÚDE;672,24
2018;FUNDO MUNICIPAL DA CULTURA;2955,58
2018;FUNDO MUNICIPAL DA CULTURA;2955,58
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;59004,24
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;59004,24
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;5000
2018;FUNDAÇÃO DE AÇÃO SOCIAL;1219,62
2018;FUNDAÇÃO DE AÇÃO SOCIAL;1219,62
2018;FUNDAÇÃO CULTURAL DE CURITIBA;1577,77
2018;FUNDAÇÃO CULTURAL DE CURITIBA;1577,77
2018;ENCARGOS GERAIS DO MUNICÍPIO;1150000
2018;ENCARGOS GERAIS DO MUNICÍPIO;1150000
2018;INSTITUTO MUNICIPAL DE TURISMO;26334,44
2018;INSTITUTO MUNICIPAL DE TURISMO;26334,44
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;24600
2018;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE CURITIBA;188392193,5
2018;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE CURITIBA;188392193,5
2018;INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE CURITIBA;52895,24
2018;INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE CURITIBA;52895,24
2018;FUNDO MUNICIPAL PARA CRIANÇA E O ADOLESCENTE;64666,06
2018;FUNDO MUNICIPAL PARA CRIANÇA E O ADOLESCENTE;64666,06
2018;FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL;22673
2018;FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL;22673
2018;FUNDO MUNICIPAL DA SAÚDE;12184,06
2018;FUNDO MUNICIPAL DA SAÚDE;12184,06
2018;FUNDO MUNICIPAL DA SAÚDE;12184,06
2018;FUNDO MUNICIPAL DA SAÚDE;12184,06
2018;FUNDO MUNICIPAL DA CULTURA;56245
2018;FUNDO MUNICIPAL DA CULTURA;56245
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;607667
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;607667
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;607667
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;607667
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;33671,11
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;33671,11
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;33671,11
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;33671,11
2018;FUNDAÇÃO DE AÇÃO SOCIAL;2583,77
2018;FUNDAÇÃO DE AÇÃO SOCIAL;2583,77
2018;FUNDAÇÃO CULTURAL DE CURITIBA;47923,38
2018;FUNDAÇÃO CULTURAL DE CURITIBA;47923,38
2018;GOVERNO MUNICIPAL;170
2018;GOVERNO MUNICIPAL;170
2018;GOVERNO MUNICIPAL;170
2018;INSTITUTO MUNICIPAL DE TURISMO;11466,51
2018;INSTITUTO MUNICIPAL DE TURISMO;11466,51
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;28600
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;28600
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;28600
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;28600
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;28600
2018;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE CURITIBA;15094,69
2018;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE CURITIBA;15094,69
2018;INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE CURITIBA;10184,06
2018;INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE CURITIBA;10184,06
2018;FUNDO MUNICIPAL PARA CRIANÇA E O ADOLESCENTE;290000
2018;FUNDO MUNICIPAL PARA CRIANÇA E O ADOLESCENTE;290000
2018;FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL;3560
2018;FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL;3560
2018;FUNDO MUNICIPAL DA SAÚDE;108,93
2018;FUNDO MUNICIPAL DA SAÚDE;108,93
2018;FUNDO MUNICIPAL DA CULTURA;18398
2018;FUNDO MUNICIPAL DA CULTURA;18398
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;546945,01
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;546945,01
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;546945,01
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;546945,01
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;77493,12
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;77493,12
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;77493,12
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;77493,12
2018;FUNDAÇÃO DE AÇÃO SOCIAL;1437,35
2018;FUNDAÇÃO DE AÇÃO SOCIAL;1437,35
2018;FUNDAÇÃO CULTURAL DE CURITIBA;201900,23
2018;FUNDAÇÃO CULTURAL DE CURITIBA;201900,23
2018;SECRETARIA MUNICIPAL DA EDUCAÇÃO;2864
2018;INSTITUTO MUNICIPAL DE TURISMO;4974,8
2018;INSTITUTO MUNICIPAL DE TURISMO;4974,8
2018;INSTITUTO MUNICIPAL DE TURISMO;4974,8
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;3600
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;3600
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;3600
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;3600
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;3600
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;3600
2018;INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA;3600
2018;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE CURITIBA;100
2018;INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE CURITIBA;53054,47
2018;INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE CURITIBA;53054,47
2018;FUNDO MUNICIPAL PARA CRIANÇA E O ADOLESCENTE;24755,13
2018;FUNDO MUNICIPAL PARA CRIANÇA E O ADOLESCENTE;24755,13
2018;FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL;52874,4
2018;FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL;52874,4
2018;FUNDO MUNICIPAL DA SAÚDE;108,93
2018;FUNDO MUNICIPAL DA SAÚDE;108,93
2018;FUNDO MUNICIPAL DA CULTURA;63900
2018;FUNDO MUNICIPAL DA CULTURA;63900
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;545189,11
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;545189,11
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;545189,11
2018;FUNDO DE URBANIZAÇÃO DE CURITIBA;545189,11
2018;FUNDO DE ABASTECIMENTO ALIMENTAR DE CURITIBA;11172,12
